Position	H3K4me3	H3K27me3	H3K4me1	H3K27ac	H3K36me3						
-990	0.001187596	0.006352824	0.018169554	0.00439463	0.009433819	
-970	0.00145544	0.005718785	0.021107146	0.004662275	0.010475895						
-950	0.001475317	0.005861755	0.021107146	0.004672253	0.010300837						
-930	0.001852971	0.008578178	0.021107146	0.004861836	0.00697474						
-910	0.001852971	0.008578178	0.021107146	0.004861836	0.00697474						
-890	0.002180337	0.007005512	0.021585865	0.005025397	0.006337916						
-870	0.002448181	0.005718785	0.021977543	0.00515922	0.005816878						
-850	0.002464745	0.005718785	0.021977543	0.005208817	0.005874772						
-830	0.002779457	0.005718785	0.021977543	0.006151152	0.00697474						
-810	0.002779457	0.005718785	0.021977543	0.006151152	0.00697474						
-790	0.003070979	0.007291451	0.020421707	0.006259834	0.007626727						
-770	0.003309498	0.008578178	0.019148751	0.006348755	0.008160171						
-750	0.003362448	0.008650698	0.019148751	0.006403341	0.008335229						
-730	0.004368493	0.010028594	0.019148751	0.007440467	0.011661326						
-710	0.004368493	0.010028594	0.019148751	0.007440467	0.011661326						
-690	0.005059665	0.010803531	0.020225868	0.007658908	0.012934974						
-670	0.005625169	0.01143757	0.021107146	0.007837632	0.01397705						
-650	0.005697995	0.011367121	0.021107146	0.007877348	0.014036322						
-630	0.007081695	0.010028594	0.021107146	0.00863196	0.01516248						
-610	0.007081695	0.010028594	0.021107146	0.00863196	0.01516248						
-590	0.007554822	0.01160126	0.018593872	0.008959082	0.014510494						
-570	0.007941926	0.012887986	0.016537557	0.009226728	0.01397705						
-550	0.008008126	0.012887986	0.016537557	0.00933091	0.014094215						
-530	0.009265942	0.012887986	0.016537557	0.011310372	0.016320342						
-510	0.009265942	0.012887986	0.016537557	0.011310372	0.016320342						
-490	0.009921271	0.012887986	0.017016276	0.012129253	0.018882801						
-470	0.010457449	0.012887986	0.017407956	0.012799247	0.020979358						
-450	0.010530275	0.012887986	0.017407956	0.012804236	0.021038629						
-430	0.011913975	0.012887986	0.017407956	0.012899027	0.022164789						
-410	0.011913975	0.012887986	0.017407956	0.012899027	0.022164789						
-390	0.012423542	0.013662923	0.01585212	0.013007709	0.020875978						
-370	0.01284046	0.014296963	0.014579163	0.013096631	0.019821496						
-350	0.012837147	0.014296963	0.014579163	0.013086751	0.019821496						
-330	0.012774205	0.014296963	0.014579163	0.012899027	0.019821496						
-310	0.012774205	0.014296963	0.014579163	0.012899027	0.019821496						
-290	0.013101571	0.013522026	0.013621725	0.013007709	0.018532685						
-270	0.013369415	0.012887986	0.012838366	0.013096631	0.017478204						
-250	0.013395917	0.012887986	0.012838366	0.013136347	0.017420311						
-230	0.013899456	0.012887986	0.012838366	0.013890959	0.016320342						
-210	0.013899456	0.012887986	0.012838366	0.013890959	0.016320342						
-190	0.014481904	0.012090257	0.012359648	0.014545204	0.015683518						
-170	0.014958453	0.01143757	0.01196797	0.015080496	0.01516248						
-150	0.014988267	0.0112946	0.01196797	0.015095463	0.015045315						
-130	0.015554748	0.008578178	0.01196797	0.015379836	0.012819188						
-110	0.015554748	0.008578178	0.01196797	0.015379836	0.012819188						
-90	0.015663472	0.008578178	0.009454696	0.015433638	0.010893553						
-70	0.015752428	0.008578178	0.007398381	0.015477659	0.009318033						
-50	0.01577893	0.008578178	0.007398381	0.015522364	0.00926014						
-30	0.016282469	0.008578178	0.007398381	0.016371768	0.008160171						
-10	0.016282469	0.008578178	0.007398381	0.016371768	0.008160171						
10	0.016536953	0.007005512	0.005363826	0.017462893	0.008160171						
30	0.016745168	0.005718785	0.003699191	0.018355631	0.008160171						
50	0.016834558	0.005646264	0.003699191	0.018435064	0.008160171						
70	0.01853297	0.004268369	0.003699191	0.019944288	0.008160171						
90	0.01853297	0.004268369	0.003699191	0.019944288	0.008160171						
110	0.019006097	0.004268369	0.003699191	0.020925655	0.008796995						
130	0.0193932	0.004268369	0	0.021728591	0.009318033						
150	0.019356814	0.004340889	0	0.021708831	0.00926014						
170	0.01866548	0.005718785	0	0.021333384	0.008160171						
190	0.01866548	0.005718785	0	0.021333384	0.008160171						
210	0.018083032	0.005718785	0	0.020514501	0.007508184						
230	0.017606484	0.005718785	0	0.019844507	0.00697474						
250	0.017533658	0.005789234	0	0.019715477	0.00697474						
270	0.016149959	0.007127761	0	0.01726392	0.00697474						
290	0.016149959	0.007127761	0	0.01726392	0.00697474						
310	0.01545819	0.007127761	0	0.016117915	0.006337916						
330	0.014892198	0.007127761	0	0.015180275	0.005816878						
350	0.014806174	0.007057312	0	0.015086071	0.005758985						
370	0.013171736	0.005718785	0	0.013296192	0.004659017						
390	0.013171736	0.005718785	0	0.013296192	0.004659017						
410	0.012224885	0.007291451	0	0.01176711	0.005295841						
430	0.011450189	0.008578178	0	0.010516043	0.005816878						
450	0.011340976	0.008578178	0	0.010377134	0.005816878						
470	0.009265942	0.008578178	0	0.007737851	0						
490	0.009265942	0.008578178	0	0.007737851	0						
510	0.007882405	0.010150843	0.002828793	0.005882723	0.004659017						
530	0.00675042	0.01143757	0.002828793	0.004364892	0.004659017						
550	0.006743849	0.011510091	0.002828793	0.004280568	0.00471691						
570	0.006618995	0.012887986	0.002828793	0.002678412	0.005816878						
590	0.006618995	0.012887986	0.002828793	0.002678412	0.005816878						
610	0.006291033	0.012887986	0.002828793	0.002241531	0.006453703						
630	0.0060227	0.012887986	0.002828793	0.001884084	0.00697474						
650	0.006006136	0.012815465	0.002828793	0.001874203	0.00697474						
670	0.005691424	0.01143757	0.002828793	0.00168648	0.00697474						
690	0.005691424	0.01143757	0.002828793	0.00168648	0.00697474						
710	0.00554626	0.013010236	0.003307511	0.001576722	0.00697474						
730	0.00542749	0.014296963	0.003699191	0.00148692	0.00697474						
750	0.005437374	0.014296963	0.003699191	0.001491909	0.00697474						
770	0.005625169	0.014296963	0.003699191	0.0015867	0.00697474						
